日期,预测股票的收盘价,预测股票的成交量,上证指数收盘价,上证指数成交量
2016-6-27,5.51,36938327,2895.7033,156697472
2016-6-28,5.37,35374625,2912.5574,173871047
2016-6-29,5.35,16992844,2931.5923,193215586
2016-6-30,5.33,13219832,2929.6057,154464930
2016-7-1,5.32,10005355,2932.4758,141246227
2016-7-4,5.6,36102676,2988.604,222017132
2016-7-5,5.84,39351997,3006.3919,235204450
2016-7-6,5.72,15830783,3017.2924,212370920
2016-7-7,5.76,29012947,3016.8467,222681667
2016-7-8,5.61,12289503,2988.0939,168986859
2016-7-11,5.62,19071687,2994.9167,224338224
2016-7-12,6.18,61647570,3049.381,259486295
2016-7-13,6.19,36037871,3060.6893,253659384
2016-7-14,5.98,25059611,3054.0182,180194804
2016-7-15,5.99,24371192,3054.296,172866398
2016-7-18,5.79,21146505,3043.5643,177496562
2016-7-19,5.59,40033479,3036.5979,155361466
2016-7-20,5.54,22322227,3027.8995,138242815
2016-7-21,5.59,26645142,3039.0091,163767370
2016-7-22,5.49,28337224,3012.8157,162010181
2016-7-25,5.5,13934008,3015.8278,144206582
2016-7-26,5.61,16096556,3050.1661,156694506
2016-7-27,5.32,30431931,2991.9991,280160915
2016-7-28,5.39,15089791,2994.3234,190564950
2016-7-29,5.27,15341470,2979.3388,150101534
2016-8-1,5.24,14040539,2953.3854,147407763
2016-8-2,5.3,10569412,2971.2787,115468900
2016-8-3,5.39,14662638,2978.4608,141141332
2016-8-4,5.43,10080556,2982.4261,133933301
2016-8-5,5.46,13332138,2976.6962,141857101
2016-8-8,5.74,41017335,3004.2767,155729833
2016-8-9,5.76,39791580,3025.6805,169995446
2016-8-10,5.84,43991303,3018.7459,164675165
2016-8-11,5.7,25200078,3002.6376,161879481
2016-8-12,5.78,16563018,3050.6674,168173657
2016-8-15,5.88,22994436,3125.1952,297616506
2016-8-16,6.12,36558255,3110.0369,278328934
2016-8-17,6.35,49309868,3109.5549,213839637
2016-8-18,6.29,25176339,3104.1138,229359081
2016-8-19,6.11,23201357,3108.102,194347453
2016-8-22,6.07,22477488,3084.8051,185387927
2016-8-23,6.02,19109089,3089.7055,161368965
2016-8-24,6.23,29803114,3085.8804,145707440
2016-8-25,6.42,52012259,3068.3294,174032980
2016-8-26,6.59,45503306,3070.3088,149663901
2016-8-29,6.5,38262034,3070.0273,144500007
2016-8-30,6.59,48264248,3074.6768,140434811
2016-8-31,6.34,29494891,3085.491,141368609
2016-9-1,6.15,26895040,3063.3054,155191093
2016-9-2,6.18,15347546,3067.352,150446920
2016-9-5,6.43,33759246,3072.0953,144963317
2016-9-6,6.47,22926006,3090.7127,172908524
2016-9-7,6.52,30489857,3091.9281,186956763
2016-9-8,6.65,19667287,3095.9543,145883771
2016-9-9,6.46,16521701,3078.8548,160692924
2016-9-12,6.15,22714577,3021.9771,206012086
2016-9-13,6.25,12515822,3023.5095,135387580
2016-9-14,6.19,7589167,3002.8486,133413401
2016-9-19,6.26,7372531,3026.0513,119225027
2016-9-20,6.25,11011256,3022.9995,118924117
2016-9-21,6.27,21622591,3025.8736,115721213
2016-9-22,6.27,13163867,3042.3132,139309554
2016-9-23,6.25,8602890,3033.8956,125590976
2016-9-26,6.04,13727551,2980.4295,144330286
2016-9-27,6.1,8837031,2998.1723,121701450
2016-9-28,6.04,7233619,2987.8576,104625697
2016-9-29,6.07,18013856,2998.4827,113213919
2016-9-30,6.08,12105632,3004.703,101333562
2016-10-10,6.07,27771736,3048.1428,160051104
2016-10-11,6.06,24282653,3065.2497,167273496
2016-10-12,5.97,20082335,3058.4981,142493577
2016-10-13,3.01,23899159,3061.3458,154756725
2016-10-14,2.92,43564118,3063.8086,155373705
2016-10-17,2.9,28240918,3041.1663,163733265
2016-10-18,2.93,21301621,3083.8751,182042460
2016-10-19,2.95,21257793,3084.7189,182470143
2016-10-20,3.04,51610414,3084.4577,160691364
2016-10-21,2.97,31524498,3090.9412,187388072
2016-10-24,3.01,34623894,3128.2467,240522349
2016-10-25,3.07,56226681,3131.9385,203380898
2016-10-26,3.02,41143121,3116.3119,191663263
2016-10-27,2.99,25032307,3112.3498,158008789
2016-10-28,2.97,18034088,3104.2703,181774123
2016-10-31,2.95,28756375,3100.492,151506764
2016-11-1,2.97,19966300,3122.4356,160232032
2016-11-2,2.93,22468983,3102.7326,182722067
2016-11-3,2.95,19409414,3128.9356,222986260
2016-11-4,2.93,19115916,3125.3167,197683197
2016-11-7,3,40805823,3133.3326,179418490
2016-11-8,2.97,31499923,3147.8875,190846979
2016-11-9,3.03,73868450,3128.3702,241114958
2016-11-10,3.1,81388329,3171.282,244192602
2016-11-11,3.29,117483239,3196.0436,310854579
2016-11-14,3.31,112593705,3210.371,329608313
2016-11-15,3.22,63358819,3206.9858,240886350
2016-11-16,3.2,41190270,3205.0572,221766993
2016-11-17,3.24,47178009,3208.4525,214206240
2016-11-18,3.15,51893304,3192.8559,209826639
2016-11-21,3.17,47524185,3218.1477,230652844
2016-11-22,3.3,98277296,3248.3517,261631547
2016-11-23,3.27,83865466,3241.1366,249959592
2016-11-24,3.33,95165458,3241.7359,232324527
2016-11-25,3.52,158969477,3261.9378,233921601
2016-11-28,3.45,98996049,3276.9996,281551253
2016-11-29,3.51,156012606,3282.9238,320836287
2016-11-30,3.35,86989383,3250.0344,243576053
2016-12-1,3.45,57815960,3273.3093,237759864
2016-12-2,3.33,80009577,3243.8432,259567205
2016-12-5,3.28,43876756,3204.7092,223010394
2016-12-6,3.27,34864688,3199.6473,157572693
2016-12-7,3.5,143765866,3222.2415,169072847
2016-12-8,3.48,117315842,3215.3658,170710173
2016-12-9,3.53,65866453,3232.8834,204023956
2016-12-12,3.48,108667901,3152.9704,274708461
2016-12-13,3.8,157428391,3155.0374,185164495
2016-12-14,3.64,115242524,3140.5308,201358887
2016-12-15,3.7,81764913,3117.677,189990626
2016-12-16,3.63,71131519,3122.9815,164988699
2016-12-19,3.63,46740296,3118.0846,154169716
2016-12-20,3.45,78916398,3102.8759,157426759
2016-12-21,3.51,47293881,3137.4297,186706607
2016-12-22,3.5,31262909,3139.558,167804990
2016-12-23,3.41,34429060,3110.1544,166176769
2016-12-26,3.3,72045421,3122.569,152571881
2016-12-27,3.28,32411017,3114.664,141528939
2016-12-28,3.29,26632265,3102.2357,135727087
2016-12-29,3.29,30478213,3096.0968,132623292
2016-12-30,3.34,42103921,3103.6373,133267130
2017-1-3,3.36,22578942,3135.9208,141567187
2017-1-4,3.41,32438911,3158.794,167860850
2017-1-5,3.42,29698034,3165.4109,174727645
2017-1-6,3.46,58101062,3154.321,183708966
2017-1-9,3.54,43762807,3171.2362,171714075
2017-1-10,3.64,77423124,3161.6713,179759216
2017-1-11,3.65,85173953,3136.7535,178362221
2017-1-12,3.56,44462336,3119.2886,148889240
2017-1-13,3.54,26762192,3112.7644,156274214
2017-1-16,3.52,35966318,3103.428,257885996
2017-1-17,3.62,35926847,3108.7746,136157861
2017-1-18,3.97,137328472,3113.0123,131780128
2017-1-19,3.82,74634193,3101.2992,123851420
2017-1-20,3.83,47375417,3123.1389,122366777
