本日,本日,收盘价,成交量,流通市值,收盘价,成交金额
2583.6,699.7,5.08,37453608,16198711296,3066.8925,306517394459
2582.9,694.5,5.2,50154121,16581358019,3104.8015,288159227657
2582.2,694.1,5.07,39450768,16166824069,3083.4083,331182549906
2582.3,688.8,5.12,46395633,16326260204,3083.7858,289991708382
2583.2,688.5,5.19,53351966,16549470792,3085.1976,327197122606
2582.6,681.7,5.13,49431972,16358147431,3050.124,226763991350
2581.2,681.7,5.05,36311167,16103049615,3040.0239,267382994368
2581.2,683.6,4.97,32833880,15847951799,3005.0355,258118739395
2581.2,685.2,4.96,21700191,15816064572,3007.3546,195586079127
2585.5,687.2,4.9,22378451,15624741210,2981.8805,189608562668
2585.1,688.4,4.94,19667065,15752290118,2982.6806,167366667288
2585.1,692.9,4.93,27426164,15720402891,2962.7513,218484273073
2585.6,692,4.99,27111214,15911726253,3004.9376,223305036014
2585.6,689.4,5.06,27009415,16134936842,3017.0658,220688292362
2585.9,689.4,5.02,29632280,16007387934,3017.0444,259173631752
2587.8,692.1,5.05,42634333,16103049615,3022.4219,302090897471
2588.4,693.5,5.02,28018213,16007387934,2984.3925,237666763217
2588.4,695.9,5.01,30037857,15975500707,2967.6764,234036541443
2587.5,692.4,4.95,23066100,15784177345,2915.6983,166044163439
2587.5,692.3,4.98,38289888,15879839026,2924.4173,175716091739
2589.9,693.2,4.94,27168319,15752290118,2917.3157,180617291474
2588.8,683.7,4.96,48959698,15816064572,2914.4775,174546478214
2602.1,680.4,4.82,14645932,15369643395,2912.0136,149507333321
2602.6,682.7,4.81,21102879,15337756168,2899.4685,159736592279
2602.6,681.1,4.76,21468033,15178320033,2878.1157,135879221486
2602.6,675.6,4.84,18556327,15433417849,2884.6988,135278611915
2604.5,672.1,4.87,34441988,15529079530,2875.8072,139351761452
2604.5,677.7,4.8,37597686,15305868941,2871.9813,140371316362
2612.1,677,4.78,39597908,15242094487,2889.6934,122616545191
2612.1,678.1,4.89,69208640,15592853983,2903.1947,137449697226
2619.6,678.8,4.78,94522464,15242094487,2907.0602,165496766152
2614.1,676,5.04,132472220,16071162388,2906.1688,174234583322
2613,672,4.78,73142115,15242094487,2885.2884,180593829183
2587.8,671.9,4.67,27616240,14891334990,2903.6379,139851207904
2586.8,672,4.67,35455303,14891334990,2911.0534,158543195636
2585.2,669.9,4.68,46121461,14923222217,2933.9908,155770741258
2585.2,671.2,4.61,45486056,14700011629,2909.2002,144677413724
